2499	-1644	52	-128
2514	-1744	-352	12
2530	-1128	192	196
2546	-1192	24	-176
2561	-964	124	-324
2577	-964	124	-324
2592	-864	148	64
2607	-780	216	-180
2623	-780	216	-180
2638	-752	212	-340
2653	-712	196	-36
2669	-808	184	-108
2685	-808	168	-28
2703	-988	168	-28
2718	-1020	120	8
2733	-1224	84	-60
2749	-1492	-8	-104
2765	-1492	-8	-104
2779	-1640	-20	-16
2795	-1776	-68	156
2811	-1916	-76	-8
2827	-1916	-76	-8
2842	-2040	-120	-28
2858	-2040	-156	100
2874	-2040	-184	52
2890	-2040	-184	52
2905	-2036	-188	-32
2921	-1888	-212	20
2936	-1768	-312	72
2952	-1768	-312	72
2967	-1324	-108	-120
2982	-1084	-216	48
2998	-744	128	-140
3014	-744	128	-140
3029	-632	-248	-68
3047	-624	-96	-32
3063	-612	-108	-4
3079	-396	-84	-68
3095	-396	-84	-68
3110	-612	-136	4
3126	-492	-64	-360
3141	-788	-144	-8
3157	-788	-144	-8
3172	-800	-92	-268
3187	-1208	-176	-92
3203	-1320	-148	-36
3218	-1320	-148	-36
3232	-1560	-148	-32
3247	-1852	-160	32
3263	-2040	-264	-24
3279	-2040	-264	-24
3294	-2040	-112	-52
3310	-2040	-64	164
3326	-2040	32	192
3341	-2040	32	192
3356	-2032	28	-244
3375	-1984	128	416
3391	-1548	164	72
3406	-1412	112	-176
3422	-1412	112	-176
3437	-1392	-24	60
3453	-1140	156	-104
3469	-636	360	-304
3485	-636	360	-304
3500	-852	132	-28
3515	-736	132	8
3531	-524	244	32
3546	-524	244	32
3561	-728	188	-216
3577	-816	84	-216
3592	-976	132	-448
3608	-976	132	-448
3623	-1164	76	116
3639	-1344	80	-128
3655	-1628	8	-108
3671	-1628	8	-108
3685	-1808	-12	-104
3701	-1976	-204	-52
3719	-1880	-124	-4
3734	-1880	-124	-4
3749	-1856	-132	76
3765	-1824	-188	24
3781	-1988	-228	80
3797	-1988	-228	80
3812	-1700	-220	488
3827	-1440	-160	-128
3843	-1204	-148	-32
3859	-1204	-148	-32
3874	-964	-168	-48
3890	-724	-180	20
3905	-424	168	-8
3921	-424	168	-8
3935	-340	-172	-200
3951	-272	-148	116
3967	-600	-228	24
3983	-600	-228	24
3998	-268	8	-292
4014	-592	-116	-152
4029	-692	-104	-344
4047	-1044	-120	-196
4063	-1044	-120	-196
4078	-1180	-92	-48
4094	-1460	-120	-80
4110	-1584	-96	-160
4126	-1584	-96	-160
4141	-1912	-116	-12
4157	-1980	-148	-112
4173	-2040	-120	188
4188	-2040	-120	188
4203	-1908	152	68
4219	-2040	-104	492
4234	-1980	-40	312
4249	-1980	-40	312
4264	-1908	52	-196
4280	-1744	-8	228
4296	-1440	-48	120
4312	-1440	-48	120
4326	-1092	360	-60
4342	-1168	68	-64
4358	-1136	108	-108
4376	-828	320	128
